order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
114-5841722-2359418	51557041397930	1	2017-07-06	FedEx	""	738488463501	FedEx International Priority DirectDistribution
111-4304982-1965012	21885253191698	1	2017-07-06	FedEx	""	738488463512	FedEx International Priority DirectDistribution
114-8077712-5035468	43518048048986	1	2017-07-06	FedEx	""	738488463523	FedEx International Priority DirectDistribution
112-8731674-8109018	60123332300666	1	2017-07-06	FedEx	""	738488463534	FedEx International Priority DirectDistribution
114-9832846-8612267	59832532645978	1	2017-07-06	FedEx	""	738488463545	FedEx International Priority DirectDistribution
111-6488874-2149827	56711469808794	1	2017-07-06	FedEx	""	738488463556	FedEx International Priority DirectDistribution
113-7493738-1870643	43766657342274	1	2017-07-06	FedEx	""	738488463567	FedEx International Priority DirectDistribution
113-1626173-9403401	61497860530714	1	2017-07-06	FedEx	""	738488463578	FedEx International Priority DirectDistribution
